case_id,scenario,target_size,sequence_a_length,sequence_b_length,algorithm,median_time_ms,score,runs,warmup
homologous_0_n100,homologous_region,100,100,100,CPython,1.66895,185,10,2
homologous_1_n100,homologous_region,100,100,100,CPython,1.7529,185,10,2
homologous_2_n100,homologous_region,100,100,100,CPython,1.84185,185,10,2
homologous_3_n100,homologous_region,100,100,100,CPython,1.6657,186,10,2
homologous_4_n100,homologous_region,100,100,100,CPython,1.6695,185,10,2
homologous_5_n100,homologous_region,100,100,100,CPython,1.7345,185,10,2
homologous_6_n100,homologous_region,100,100,100,CPython,1.7999,185,10,2
homologous_7_n100,homologous_region,100,100,100,CPython,1.8007,185,10,2
homologous_8_n100,homologous_region,100,100,100,CPython,2.0456,185,10,2
homologous_9_n100,homologous_region,100,100,100,CPython,3.0707,185,10,2
indel_0_n100,indel_disruption,100,100,112,CPython,2.16775,176,10,2
indel_1_n100,indel_disruption,100,100,88,CPython,1.78565,149,10,2
indel_2_n100,indel_disruption,100,100,112,CPython,1.93115,176,10,2
indel_3_n100,indel_disruption,100,100,88,CPython,1.50925,149,10,2
indel_4_n100,indel_disruption,100,100,112,CPython,2.1207,176,10,2
indel_5_n100,indel_disruption,100,100,88,CPython,1.67545,149,10,2
indel_6_n100,indel_disruption,100,100,112,CPython,1.88045,176,10,2
indel_7_n100,indel_disruption,100,100,88,CPython,1.555,149,10,2
indel_8_n100,indel_disruption,100,100,112,CPython,2.0094,176,10,2
indel_9_n100,indel_disruption,100,100,88,CPython,1.4881,149,10,2
motif_0_n100,conserved_motif,100,100,100,CPython,1.6819,62,10,2
motif_1_n100,conserved_motif,100,100,100,CPython,1.6869,65,10,2
motif_2_n100,conserved_motif,100,100,100,CPython,1.7021,52,10,2
motif_3_n100,conserved_motif,100,100,100,CPython,1.8306,56,10,2
motif_4_n100,conserved_motif,100,100,100,CPython,1.68305,52,10,2
motif_5_n100,conserved_motif,100,100,100,CPython,1.6812,46,10,2
motif_6_n100,conserved_motif,100,100,100,CPython,1.74155,46,10,2
motif_7_n100,conserved_motif,100,100,100,CPython,1.73025,50,10,2
motif_8_n100,conserved_motif,100,100,100,CPython,1.68795,55,10,2
motif_9_n100,conserved_motif,100,100,100,CPython,1.7641,63,10,2
contained_0_n100,contained_fragment,100,50,108,CPython,0.905,100,10,2
contained_1_n100,contained_fragment,100,50,108,CPython,0.90335,100,10,2
contained_2_n100,contained_fragment,100,50,108,CPython,0.9061,100,10,2
contained_3_n100,contained_fragment,100,50,108,CPython,0.9396,100,10,2
contained_4_n100,contained_fragment,100,50,108,CPython,0.98065,100,10,2
contained_5_n100,contained_fragment,100,50,108,CPython,0.9075,100,10,2
contained_6_n100,contained_fragment,100,50,108,CPython,0.9689,100,10,2
contained_7_n100,contained_fragment,100,50,108,CPython,0.9809,100,10,2
contained_8_n100,contained_fragment,100,50,108,CPython,0.98565,100,10,2
contained_9_n100,contained_fragment,100,50,108,CPython,0.9048,100,10,2
random_0_n100,random_uniform,100,100,100,CPython,1.6939,44,10,2
random_1_n100,random_uniform,100,100,100,CPython,1.68435,45,10,2
random_2_n100,random_uniform,100,100,100,CPython,1.68125,54,10,2
random_3_n100,random_uniform,100,100,100,CPython,1.699,49,10,2
random_4_n100,random_uniform,100,100,100,CPython,1.6809,35,10,2
random_5_n100,random_uniform,100,100,100,CPython,1.68515,49,10,2
random_6_n100,random_uniform,100,100,100,CPython,1.68445,39,10,2
random_7_n100,random_uniform,100,100,100,CPython,1.70745,50,10,2
random_8_n100,random_uniform,100,100,100,CPython,1.8856,45,10,2
random_9_n100,random_uniform,100,100,100,CPython,1.68375,51,10,2
homologous_0_n200,homologous_region,200,200,200,CPython,6.8903,370,10,2
homologous_1_n200,homologous_region,200,200,200,CPython,7.20415,373,10,2
homologous_2_n200,homologous_region,200,200,200,CPython,6.9909,370,10,2
homologous_3_n200,homologous_region,200,200,200,CPython,7.172,382,10,2
