case_id,scenario,target_size,sequence_a_length,sequence_b_length,algorithm,median_time_ms,score,runs,warmup
homologous_0_n100,homologous_region,100,100,100,CPython,1.636,185,10,2
homologous_1_n100,homologous_region,100,100,100,CPython,1.6802,185,10,2
indel_0_n100,indel_disruption,100,100,112,CPython,1.84555,176,10,2
indel_1_n100,indel_disruption,100,100,88,CPython,1.4593,149,10,2
motif_0_n100,conserved_motif,100,100,100,CPython,1.65195,62,10,2
motif_1_n100,conserved_motif,100,100,100,CPython,1.6924,65,10,2
contained_0_n100,contained_fragment,100,50,108,CPython,0.8898,100,10,2
contained_1_n100,contained_fragment,100,50,108,CPython,0.88945,100,10,2
random_0_n100,random_uniform,100,100,100,CPython,1.6682,44,10,2
random_1_n100,random_uniform,100,100,100,CPython,1.66815,45,10,2
homologous_0_n200,homologous_region,200,200,200,CPython,7.0889,370,10,2
homologous_1_n200,homologous_region,200,200,200,CPython,6.9815,373,10,2
indel_0_n200,indel_disruption,200,200,225,CPython,7.40415,350,10,2
indel_1_n200,indel_disruption,200,200,175,CPython,5.90525,297,10,2
motif_0_n200,conserved_motif,200,200,200,CPython,6.62095,130,10,2
motif_1_n200,conserved_motif,200,200,200,CPython,6.8679,119,10,2
contained_0_n200,contained_fragment,200,100,216,CPython,3.51995,200,10,2
contained_1_n200,contained_fragment,200,100,216,CPython,3.51995,200,10,2
random_0_n200,random_uniform,200,200,200,CPython,6.5895,84,10,2
random_1_n200,random_uniform,200,200,200,CPython,6.8013,86,10,2
homologous_0_n400,homologous_region,400,400,400,CPython,31.5119,740,10,2
homologous_1_n400,homologous_region,400,400,400,CPython,30.9702,740,10,2
indel_0_n400,indel_disruption,400,400,450,CPython,34.97725,700,10,2
indel_1_n400,indel_disruption,400,400,350,CPython,26.00095,597,10,2
motif_0_n400,conserved_motif,400,400,400,CPython,30.5803,167,10,2
motif_1_n400,conserved_motif,400,400,400,CPython,30.87395,246,10,2
contained_0_n400,contained_fragment,400,200,433,CPython,16.3835,400,10,2
contained_1_n400,contained_fragment,400,200,433,CPython,16.43025,400,10,2
random_0_n400,random_uniform,400,400,400,CPython,31.09715,178,10,2
random_1_n400,random_uniform,400,400,400,CPython,30.1516,172,10,2
homologous_0_n600,homologous_region,600,600,600,CPython,73.1725,1116,10,2
homologous_1_n600,homologous_region,600,600,600,CPython,77.0137,1110,10,2
indel_0_n600,indel_disruption,600,600,675,CPython,84.3625,1050,10,2
indel_1_n600,indel_disruption,600,600,525,CPython,65.99785,897,10,2
motif_0_n600,conserved_motif,600,600,600,CPython,71.92745,344,10,2
motif_1_n600,conserved_motif,600,600,600,CPython,69.74955,264,10,2
contained_0_n600,contained_fragment,600,300,650,CPython,41.2768,600,10,2
contained_1_n600,contained_fragment,600,300,650,CPython,38.6545,600,10,2
random_0_n600,random_uniform,600,600,600,CPython,70.656,266,10,2
random_1_n600,random_uniform,600,600,600,CPython,72.2958,266,10,2
homologous_0_n800,homologous_region,800,800,800,CPython,136.5251,1484,10,2
homologous_1_n800,homologous_region,800,800,800,CPython,141.35505,1486,10,2
indel_0_n800,indel_disruption,800,800,900,CPython,163.682,1400,10,2
indel_1_n800,indel_disruption,800,800,700,CPython,120.8066,1197,10,2
motif_0_n800,conserved_motif,800,800,800,CPython,135.1251,376,10,2
motif_1_n800,conserved_motif,800,800,800,CPython,138.9516,365,10,2
contained_0_n800,contained_fragment,800,400,866,CPython,77.8162,800,10,2
contained_1_n800,contained_fragment,800,400,866,CPython,78.51795,800,10,2
random_0_n800,random_uniform,800,800,800,CPython,138.3689,343,10,2
random_1_n800,random_uniform,800,800,800,CPython,134.6555,343,10,2
homologous_0_n1000,homologous_region,1000,1000,1000,CPython,226.5521,1865,10,2
homologous_1_n1000,homologous_region,1000,1000,1000,CPython,228.35585,1853,10,2
indel_0_n1000,indel_disruption,1000,1000,1125,CPython,273.5553,1750,10,2
indel_1_n1000,indel_disruption,1000,1000,875,CPython,205.11575,1497,10,2
motif_0_n1000,conserved_motif,1000,1000,1000,CPython,258.02345,592,10,2
motif_1_n1000,conserved_motif,1000,1000,1000,CPython,251.68785,466,10,2
contained_0_n1000,contained_fragment,1000,500,1083,CPython,163.85085,1000,10,2
contained_1_n1000,contained_fragment,1000,500,1083,CPython,180.48655,1000,10,2
random_0_n1000,random_uniform,1000,1000,1000,CPython,248.9011,444,10,2
random_1_n1000,random_uniform,1000,1000,1000,CPython,246.36515,428,10,2
homologous_0_n100,homologous_region,100,100,100,CPython JIT,1.58,185,10,2
homologous_1_n100,homologous_region,100,100,100,CPython JIT,1.59355,185,10,2
indel_0_n100,indel_disruption,100,100,112,CPython JIT,1.70545,176,10,2
indel_1_n100,indel_disruption,100,100,88,CPython JIT,1.33665,149,10,2
motif_0_n100,conserved_motif,100,100,100,CPython JIT,1.4956,62,10,2
motif_1_n100,conserved_motif,100,100,100,CPython JIT,1.52165,65,10,2
contained_0_n100,contained_fragment,100,50,108,CPython JIT,0.81495,100,10,2
contained_1_n100,contained_fragment,100,50,108,CPython JIT,0.7974,100,10,2
random_0_n100,random_uniform,100,100,100,CPython JIT,1.5189,44,10,2
random_1_n100,random_uniform,100,100,100,CPython JIT,1.58265,45,10,2
homologous_0_n200,homologous_region,200,200,200,CPython JIT,6.2168,370,10,2
homologous_1_n200,homologous_region,200,200,200,CPython JIT,6.2841,373,10,2
indel_0_n200,indel_disruption,200,200,225,CPython JIT,7.02435,350,10,2
indel_1_n200,indel_disruption,200,200,175,CPython JIT,5.21035,297,10,2
motif_0_n200,conserved_motif,200,200,200,CPython JIT,6.20585,130,10,2
motif_1_n200,conserved_motif,200,200,200,CPython JIT,6.4358,119,10,2
contained_0_n200,contained_fragment,200,100,216,CPython JIT,3.2346,200,10,2
contained_1_n200,contained_fragment,200,100,216,CPython JIT,3.2453,200,10,2
random_0_n200,random_uniform,200,200,200,CPython JIT,5.88875,84,10,2
random_1_n200,random_uniform,200,200,200,CPython JIT,5.9175,86,10,2
homologous_0_n400,homologous_region,400,400,400,CPython JIT,26.2214,740,10,2
homologous_1_n400,homologous_region,400,400,400,CPython JIT,25.5537,740,10,2
indel_0_n400,indel_disruption,400,400,450,CPython JIT,29.13695,700,10,2
indel_1_n400,indel_disruption,400,400,350,CPython JIT,20.8856,597,10,2
motif_0_n400,conserved_motif,400,400,400,CPython JIT,23.4673,167,10,2
motif_1_n400,conserved_motif,400,400,400,CPython JIT,23.1151,246,10,2
contained_0_n400,contained_fragment,400,200,433,CPython JIT,12.7803,400,10,2
contained_1_n400,contained_fragment,400,200,433,CPython JIT,12.60855,400,10,2
random_0_n400,random_uniform,400,400,400,CPython JIT,42.90855,178,10,2
random_1_n400,random_uniform,400,400,400,CPython JIT,35.9593,172,10,2
homologous_0_n600,homologous_region,600,600,600,CPython JIT,62.6729,1116,10,2
homologous_1_n600,homologous_region,600,600,600,CPython JIT,56.41035,1110,10,2
indel_0_n600,indel_disruption,600,600,675,CPython JIT,64.95085,1050,10,2
indel_1_n600,indel_disruption,600,600,525,CPython JIT,55.29005,897,10,2
motif_0_n600,conserved_motif,600,600,600,CPython JIT,65.92935,344,10,2
motif_1_n600,conserved_motif,600,600,600,CPython JIT,62.0732,264,10,2
contained_0_n600,contained_fragment,600,300,650,CPython JIT,33.4174,600,10,2
contained_1_n600,contained_fragment,600,300,650,CPython JIT,32.6364,600,10,2
random_0_n600,random_uniform,600,600,600,CPython JIT,69.425,266,10,2
random_1_n600,random_uniform,600,600,600,CPython JIT,56.3234,266,10,2
homologous_0_n800,homologous_region,800,800,800,CPython JIT,101.1794,1484,10,2
homologous_1_n800,homologous_region,800,800,800,CPython JIT,112.4953,1486,10,2
indel_0_n800,indel_disruption,800,800,900,CPython JIT,138.3573,1400,10,2
indel_1_n800,indel_disruption,800,800,700,CPython JIT,94.30395,1197,10,2
motif_0_n800,conserved_motif,800,800,800,CPython JIT,110.10395,376,10,2
motif_1_n800,conserved_motif,800,800,800,CPython JIT,160.3875,365,10,2
contained_0_n800,contained_fragment,800,400,866,CPython JIT,72.25765,800,10,2
contained_1_n800,contained_fragment,800,400,866,CPython JIT,61.44645,800,10,2
random_0_n800,random_uniform,800,800,800,CPython JIT,106.8035,343,10,2
random_1_n800,random_uniform,800,800,800,CPython JIT,99.15155,343,10,2
homologous_0_n1000,homologous_region,1000,1000,1000,CPython JIT,169.16935,1865,10,2
homologous_1_n1000,homologous_region,1000,1000,1000,CPython JIT,159.29525,1853,10,2
indel_0_n1000,indel_disruption,1000,1000,1125,CPython JIT,183.30185,1750,10,2
indel_1_n1000,indel_disruption,1000,1000,875,CPython JIT,143.7767,1497,10,2
motif_0_n1000,conserved_motif,1000,1000,1000,CPython JIT,154.4328,592,10,2
motif_1_n1000,conserved_motif,1000,1000,1000,CPython JIT,159.61135,466,10,2
contained_0_n1000,contained_fragment,1000,500,1083,CPython JIT,83.49375,1000,10,2
contained_1_n1000,contained_fragment,1000,500,1083,CPython JIT,82.23835,1000,10,2
random_0_n1000,random_uniform,1000,1000,1000,CPython JIT,155.26385,444,10,2
random_1_n1000,random_uniform,1000,1000,1000,CPython JIT,150.3416,428,10,2
homologous_0_n100,homologous_region,100,100,100,PyPy,0.6661,185,10,2
homologous_1_n100,homologous_region,100,100,100,PyPy,0.23305,185,10,2
indel_0_n100,indel_disruption,100,100,112,PyPy,0.2597,176,10,2
indel_1_n100,indel_disruption,100,100,88,PyPy,0.2156,149,10,2
motif_0_n100,conserved_motif,100,100,100,PyPy,0.2245,62,10,2
motif_1_n100,conserved_motif,100,100,100,PyPy,0.23895,65,10,2
contained_0_n100,contained_fragment,100,50,108,PyPy,0.14435,100,10,2
contained_1_n100,contained_fragment,100,50,108,PyPy,0.1194,100,10,2
random_0_n100,random_uniform,100,100,100,PyPy,0.185,44,10,2
random_1_n100,random_uniform,100,100,100,PyPy,0.18895,45,10,2
homologous_0_n200,homologous_region,200,200,200,PyPy,0.8402,370,10,2
homologous_1_n200,homologous_region,200,200,200,PyPy,0.808,373,10,2
indel_0_n200,indel_disruption,200,200,225,PyPy,1.19685,350,10,2
indel_1_n200,indel_disruption,200,200,175,PyPy,0.7271,297,10,2
motif_0_n200,conserved_motif,200,200,200,PyPy,0.77465,130,10,2
motif_1_n200,conserved_motif,200,200,200,PyPy,0.7917,119,10,2
contained_0_n200,contained_fragment,200,100,216,PyPy,0.45055,200,10,2
