scenario,target_size,algorithm,median_time_mean_ms,median_time_median_ms,median_time_std_ms,median_time_iqr_ms,median_time_q1_ms,median_time_q3_ms,score_mean,score_median,sequence_a_length_mean,sequence_a_length_median,sequence_b_length_mean,sequence_b_length_median,observations
conserved_motif,100,CPython,1.672175,1.672175,0.02860246929899576,0.020224999999999937,1.6620625,1.6822875,63.5,63.5,100.0,100.0,100.0,100.0,2
conserved_motif,100,CPython JIT,1.5086249999999999,1.5086249999999999,0.018420131649909573,0.013025000000000064,1.5021125,1.5151375,63.5,63.5,100.0,100.0,100.0,100.0,2
conserved_motif,100,Cython,0.71745,0.71745,0.011455129855222065,0.008099999999999996,0.7134,0.7215,63.5,63.5,100.0,100.0,100.0,100.0,2
conserved_motif,100,PyPy,0.23172500000000001,0.23172500000000001,0.010217692988145595,0.007225000000000009,0.2281125,0.2353375,63.5,63.5,100.0,100.0,100.0,100.0,2
conserved_motif,200,CPython,6.744425,6.744425,0.1746200196140179,0.12347499999999911,6.6826875,6.806162499999999,124.5,124.5,200.0,200.0,200.0,200.0,2
conserved_motif,200,CPython JIT,6.320825,6.320825,0.16259920433384698,0.11497499999999938,6.2633375000000004,6.3783125,124.5,124.5,200.0,200.0,200.0,200.0,2
conserved_motif,200,Cython,2.6388,2.6388,0.022768838354206677,0.016100000000000225,2.63075,2.64685,124.5,124.5,200.0,200.0,200.0,200.0,2
conserved_motif,200,PyPy,0.783175,0.783175,0.012056170619230642,0.008525000000000116,0.7789124999999999,0.7874375,124.5,124.5,200.0,200.0,200.0,200.0,2
conserved_motif,400,CPython,30.727125,30.727125,0.20764190629542933,0.14682499999999976,30.6537125,30.8005375,206.5,206.5,400.0,400.0,400.0,400.0,2
conserved_motif,400,CPython JIT,23.291200000000003,23.291200000000003,0.2490430083339032,0.1761000000000017,23.20315,23.379250000000003,206.5,206.5,400.0,400.0,400.0,400.0,2
conserved_motif,400,Cython,12.76875,12.76875,1.6264163074071778,1.1500499999999985,12.193725,13.343774999999999,206.5,206.5,400.0,400.0,400.0,400.0,2
conserved_motif,400,PyPy,3.296025,3.296025,0.10405076285160055,0.07357500000000039,3.2592375,3.3328125,206.5,206.5,400.0,400.0,400.0,400.0,2
conserved_motif,600,CPython,70.8385,70.8385,1.5400078587461776,1.0889499999999828,70.294025,71.38297499999999,304.0,304.0,600.0,600.0,600.0,600.0,2
conserved_motif,600,CPython JIT,64.00127499999999,64.00127499999999,2.7267098142725,1.9280749999999927,63.0372375,64.9653125,304.0,304.0,600.0,600.0,600.0,600.0,2
conserved_motif,600,Cython,20.647125,20.647125,0.43893653442155006,0.3103750000000005,20.4919375,20.8023125,304.0,304.0,600.0,600.0,600.0,600.0,2
conserved_motif,600,PyPy,8.083499999999999,8.083499999999999,1.4021927470929239,0.9915000000000003,7.58775,8.57925,304.0,304.0,600.0,600.0,600.0,600.0,2
conserved_motif,800,CPython,137.03835,137.03835,2.705744098210331,1.913250000000005,136.081725,137.994975,370.5,370.5,800.0,800.0,800.0,800.0,2
conserved_motif,800,CPython JIT,135.245725,135.245725,35.55583918713282,25.141774999999996,122.6748375,147.8166125,370.5,370.5,800.0,800.0,800.0,800.0,2
conserved_motif,800,Cython,36.674175,36.674175,1.6668981706301056,1.1786749999999984,36.0848375,37.2635125,370.5,370.5,800.0,800.0,800.0,800.0,2
conserved_motif,800,PyPy,11.739,11.739,0.20944502858745648,0.14810000000000123,11.66495,11.81305,370.5,370.5,800.0,800.0,800.0,800.0,2
conserved_motif,1000,CPython,254.85565000000003,254.85565000000003,4.47994572288552,3.1677999999999997,253.27175,256.43955,529.0,529.0,1000.0,1000.0,1000.0,1000.0,2
conserved_motif,1000,CPython JIT,157.02207499999997,157.02207499999997,3.6617878217136064,2.589275000000015,155.72743749999998,158.3167125,529.0,529.0,1000.0,1000.0,1000.0,1000.0,2
conserved_motif,1000,Cython,61.680925,61.680925,2.0542512653641003,1.452575000000003,60.9546375,62.4072125,529.0,529.0,1000.0,1000.0,1000.0,1000.0,2
conserved_motif,1000,PyPy,17.711225,17.711225,0.4925352284354873,0.34827499999999745,17.537087500000002,17.8853625,529.0,529.0,1000.0,1000.0,1000.0,1000.0,2
contained_fragment,100,CPython,0.889625,0.889625,0.0002474873734153429,0.00017500000000003624,0.8895375,0.8897125,100.0,100.0,50.0,50.0,108.0,108.0,2
contained_fragment,100,CPython JIT,0.806175,0.806175,0.012409724009823877,0.008774999999999977,0.8017875,0.8105625,100.0,100.0,50.0,50.0,108.0,108.0,2
contained_fragment,100,Cython,0.376525,0.376525,0.0022273863607376147,0.001574999999999993,0.3757375,0.3773125,100.0,100.0,50.0,50.0,108.0,108.0,2
contained_fragment,100,PyPy,0.13187500000000002,0.13187500000000002,0.01764231419060437,0.012474999999999986,0.1256375,0.1381125,100.0,100.0,50.0,50.0,108.0,108.0,2
contained_fragment,200,CPython,3.51995,3.51995,0.0,0.0,3.51995,3.51995,200.0,200.0,100.0,100.0,216.0,216.0,2
contained_fragment,200,CPython JIT,3.23995,3.23995,0.007566042558696011,0.005349999999999966,3.237275,3.242625,200.0,200.0,100.0,100.0,216.0,216.0,2
contained_fragment,200,Cython,1.4801000000000002,1.4801000000000002,0.00261629509039033,0.0018499999999999073,1.4791750000000001,1.481025,200.0,200.0,100.0,100.0,216.0,216.0,2
contained_fragment,200,PyPy,0.4566,0.4566,0.008555992052357225,0.00605,0.453575,0.459625,200.0,200.0,100.0,100.0,216.0,216.0,2
contained_fragment,400,CPython,16.406875,16.406875,0.03305724202047193,0.023374999999997925,16.395187500000002,16.4185625,400.0,400.0,200.0,200.0,433.0,433.0,2
contained_fragment,400,CPython JIT,12.694424999999999,12.694424999999999,0.12144558966878974,0.0858749999999997,12.6514875,12.7373625,400.0,400.0,200.0,200.0,433.0,433.0,2
contained_fragment,400,Cython,5.93695,5.93695,0.03181980515339459,0.022499999999999076,5.925700000000001,5.9482,400.0,400.0,200.0,200.0,433.0,433.0,2
contained_fragment,400,PyPy,1.8899,1.8899,0.008485281374238578,0.006000000000000227,1.8868999999999998,1.8929,400.0,400.0,200.0,200.0,433.0,433.0,2
contained_fragment,600,CPython,39.96565,39.96565,1.854246112305483,1.311150000000005,39.310075,40.621225,600.0,600.0,300.0,300.0,650.0,650.0,2
contained_fragment,600,CPython JIT,33.0269,33.0269,0.5522503961066902,0.39049999999999585,32.83165,33.22215,600.0,600.0,300.0,300.0,650.0,650.0,2
contained_fragment,600,Cython,11.64695,11.64695,0.24621458120915543,0.17410000000000103,11.559899999999999,11.734,600.0,600.0,300.0,300.0,650.0,650.0,2
contained_fragment,600,PyPy,5.564325,5.564325,0.4823528907864034,0.341075,5.3937875,5.7348625,600.0,600.0,300.0,300.0,650.0,650.0,2
contained_fragment,800,CPython,78.167075,78.167075,0.4962121836976626,0.35087500000000205,77.9916375,78.3425125,800.0,800.0,400.0,400.0,866.0,866.0,2
contained_fragment,800,CPython JIT,66.85204999999999,66.85204999999999,7.644672832763997,5.405600000000007,64.14925,69.55485,800.0,800.0,400.0,400.0,866.0,866.0,2
